GI_ID,Latitude,Longitude,DEP_Contra,Asset_ID,DEP_Cont_1,Project_Ty,Row_Onsite,Project_Na,Asset_Type,Status,Asset_X_Co,Asset_Y_Co,Borough,Sewer_Type,Outfall,Waterbody,Street_Add,Nearest_In,BBL,Secondary,Community,City_Counc,Assembly_D,Asset_Leng,Asset_Widt,Asset_Area,GI_Feature,Tree_Latin,Tree_Commo,Constructi,Construc_1,Status_Gro
MMPP-11SRa,-73.8615727671043,40.8467431990937,GXHP07-03-OS5,97770,2,Onsite,Onsite,Matthews Muliner Playground,Subsurface Storage,100% Design Accepted,1022548.7151,247799.0731,Bronx,Combined,HP-007,Bronx River,,,2040550024,,211,13,80,28.19,16.09,398,,,,,,Final Design
1203d,-73.8872903828922,40.6756329095761,GK26W5-04,99267,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015513.63,185447.81,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039820011,,305,37,55,14,4.5,63,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1232a,-73.8926676598352,40.6747825869829,GK26W4-01,99294,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014022.45,185136.14,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037080011,,305,37,55,10,4.5,45,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1258a,-73.8922449889804,40.6726913302956,GK26W4-01,99352,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014140.63,184374.38,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037240029,,305,37,55,10,5,50,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1278a,-73.886813443837,40.6734115596981,GK26W5-04,99393,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015646.97,184638.68,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039970130,,305,37,55,13,6,78,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1308b,-73.8900634931116,40.6719352484932,GK26W5-04,99441,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1014746.11,184099.67,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040100007,,305,37,55,13,4,52,Type D,Maackia amurensis,Amur Maackia,GK26W4-01_GK26W5-04,2,Final Design
1313c,-73.8917781162778,40.6713089512732,GK26W4-01,99445,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014270.76,183870.9,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037420001,,305,37,55,12,6,72,Type A - Stone Columns,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1314c,-73.8920718292936,40.6720085142912,GK26W4-01,99453,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014188.97,184125.67,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037410029,3037410028,305,37,55,15,5,75,Standard,Syringa reticulata,Japanese Tree Lilac,GK26W4-01_GK26W5-04,2,Final Design
GS1317b,-73.8927090153205,40.6712387059763,GK26W4-01,99460,1,Area-Wide,ROW,EDC 26W-004,ROWGS,100% Design Accepted,1014012.56,183844.99,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037410001,,305,37,55,10,3.5,35,,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1398d,-73.8903069580267,40.6692906946956,GK26W4-01,99652,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014679.78,183136.1,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3040410013,,305,42,60,11,6,66,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1702a,-73.877724341291,40.6773377756233,GK26W5-04,100074,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1018166.21,186072.5,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3041530082,,305,37,54,20,4,80,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1706b,-73.8791413617074,40.6791963061766,GK26W5-04,100083,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017772.23,186749.07,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039760031,,305,37,54,16,6,96,Standard,Platanus x acerifolia,London Planetree,GK26W4-01_GK26W5-04,3,Final Design
1706a,-73.8791551395452,40.679252972826,GK26W5-04,100084,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017768.38,186769.71,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039760031,,305,37,54,17,6,102,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1718b,-73.880681972471,40.6772523068376,GK26W5-04,100090,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017345.88,186040.23,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039730053,,305,37,54,10,5,50,Standard,Malus 'Coralburst',Coralburst Crabapple,GK26W4-01_GK26W5-04,3,Final Design
1718a,-73.8806719502496,40.6772118384357,GK26W5-04,100093,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017348.68,186025.49,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039730053,,305,37,54,10,5,50,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1719c,-73.8810041240614,40.6785517980501,GK26W5-04,100094,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017255.88,186513.55,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039730024,,305,37,54,20,6,120,Type DA,Ulmus americana,American Elm,GK26W4-01_GK26W5-04,3,Final Design
1719a,-73.8810407472614,40.6786969796854,GK26W5-04,100096,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017245.65,186566.43,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039730024,,305,37,54,20,6,120,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
GS1724c,-73.8827052925738,40.6781977120487,GK26W5-04,100101,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWGS,100% Design Accepted,1016784.2,186383.91,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039720020,,305,37,54,10,3.5,35,,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1733a,-73.8859626066907,40.6773431067154,GK26W5-04,100123,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015881.12,186071.36,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039680005,,305,37,54,13,6,78,Type D,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1733b,-73.8859354656087,40.677234029844,GK26W5-04,100124,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015888.7,186031.63,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039680005,,305,37,54,13,6,78,Type D,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1748c,-73.8759172335909,40.6772915677092,GK26W5-04,100141,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1018667.48,186056.37,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3041900025,,305,37,54,10,5,50,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1757a,-73.8788532271177,40.6769517641284,GK26W5-04,100162,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017853.28,185931.43,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039910008,,305,37,54,13,4,52,Type A - Stone Columns,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
VD2H-US2,-73.9029410102217,40.6642786081388,GK26W3-03-OS7,118704,2,Onsite,Onsite,Van Dyke II,Subsurface Storage,100% Design Accepted,1011177.0116,181305.9203,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,,,3037940001,,316,41,55,25.42,11.08,281,,,,,,Final Design
1762f,-73.8805075388829,40.6765551995378,GK26W5-04,100174,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017394.61,185786.32,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039890018,,305,37,54,10,4,40,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1773b,-73.8831821035702,40.6760290550776,GK26W5-04,100186,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1016653,185593.63,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039860011,,305,37,54,10,4,40,Type D,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1787b,-73.8808160851887,40.6754779749832,GK26W5-04,100201,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017309.56,185393.74,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039890034,3039890036,305,37,54,10,4,40,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1787a,-73.8808692385225,40.6754702897601,GK26W5-04,100202,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017294.82,185390.92,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039890036,,305,37,54,10,4,40,Standard,Platanus x acerifolia,London Planetree,GK26W4-01_GK26W5-04,3,Final Design
1807a,-73.8801744175805,40.6752119159772,GK26W5-04,100242,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017487.68,185297.05,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040050017,,305,37,54,13,4,52,Standard,Quercus palustris,Pin Oak,GK26W4-01_GK26W5-04,3,Final Design
1808a,-73.8804337089455,40.6754468092947,GK26W5-04,100243,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017415.64,185382.53,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040050016,,305,37,54,10,4,40,Type A - Stone Columns,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
1810a,-73.8810450054985,40.6748746353544,GK26W5-04,100247,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017246.36,185173.84,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040040023,,305,37,54,14,6,84,Standard,Zelkova serrata 'Wireless',Wireless Zelkova,GK26W4-01_GK26W5-04,3,Final Design
1839a,-73.8760842843416,40.6745834759756,GK26W5-04,100284,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1018622.54,185069.67,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3042280013,,305,37,54,11,5,55,Standard,Koelreuteria paniculata,Panicled Goldenraintree,GK26W4-01_GK26W5-04,3,Final Design
2002b,-73.8938236886906,40.6664364867986,GK26W4-01,100465,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1013705.47,182095.03,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037890054,,305,37,60,20,5,100,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2006a,-73.893490883422,40.6668358465145,GK26W4-01,100467,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1013797.62,182240.64,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037900004,,305,37,60,12,4.5,54,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2006c,-73.8935367012458,40.6670149034477,GK26W4-01,100468,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1013784.83,182305.86,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037900009,,305,37,60,13,4.5,58.5,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2010e,-73.8925433044037,40.6681246547958,GK26W4-01,100474,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014059.92,182710.51,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910025,,305,37,60,10,4,40,Standard,Malus 'Harvest Gold',Harvest Gold Crabapple,GK26W4-01_GK26W5-04,4,Final Design
2010c,-73.8926776853487,40.6681043865287,GK26W4-01,100477,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014022.65,182703.08,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910025,,305,37,60,13,4,52,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2010f,-73.8924902300983,40.6681325101727,GK26W4-01,100478,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014074.64,182713.39,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910025,,305,37,60,10,4,40,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2010g,-73.8923408140927,40.6681547678405,GK26W4-01,100479,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014116.08,182721.55,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910026,,305,37,60,10,4,40,Standard,Malus 'Harvest Gold',Harvest Gold Crabapple,GK26W4-01_GK26W5-04,4,Final Design
2010d,-73.8926139745732,40.6681138240114,GK26W4-01,100481,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014040.32,182706.54,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910025,,305,37,60,13,4,52,Standard,Malus 'Harvest Gold',Harvest Gold Crabapple,GK26W4-01_GK26W5-04,4,Final Design
2011b,-73.8918213606627,40.6673172326398,GK26W4-01,100482,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014260.56,182416.59,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910041,3037910042,305,37,60,13,5,65,Standard,Malus 'Harvest Gold',Harvest Gold Crabapple,GK26W4-01_GK26W5-04,4,Final Design
2011a,-73.8918591916341,40.6667281836152,GK26W4-01,100483,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014250.33,182201.97,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910050,,305,37,60,11,6,66,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2011e,-73.8919758184205,40.667920103885,GK26W4-01,100484,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014217.44,182636.18,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037910030,,305,37,60,10,5,50,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2013c,-73.8916337392563,40.6670272073372,GK26W4-01,100488,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014312.74,182310.99,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037920001,,305,37,60,14,5,70,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2019b,-73.8900810480385,40.6669924400642,GK26W4-01,100491,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014743.5,182298.86,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,19,5,95,Standard,Syringa reticulata,Japanese Tree Lilac,GK26W4-01_GK26W5-04,4,Final Design
2019d,-73.8902721060796,40.6669641316461,GK26W4-01,100493,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014690.51,182288.48,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,19,5,95,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2019e,-73.8904074581393,40.6669441688816,GK26W4-01,100495,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014652.97,182281.16,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,20,5,100,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2019c,-73.890187195435,40.666976704059,GK26W4-01,100497,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014714.06,182293.09,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,20,5,100,Standard,Transplant,N/A,GK26W4-01_GK26W5-04,4,Final Design
2019f,-73.8904959021703,40.6669310507136,GK26W4-01,100500,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014628.44,182276.35,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,20,5,100,Standard,Syringa reticulata,Japanese Tree Lilac,GK26W4-01_GK26W5-04,4,Final Design
2020b,-73.8898850074234,40.6672002519835,GK26W4-01,100502,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014797.79,182374.64,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,20,5,100,Standard,Syringa reticulata,Japanese Tree Lilac,GK26W4-01_GK26W5-04,4,Final Design
2020c,-73.8899220076316,40.667343345305,GK26W4-01,100503,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014787.46,182426.76,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,20,5,100,Standard,Transplant,N/A,GK26W4-01_GK26W5-04,4,Final Design
2020d,-73.8900302429071,40.6677669682936,GK26W4-01,100504,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014757.24,182581.06,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037930001,,305,37,60,16,5,80,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2021a,-73.8894992115663,40.6656909393314,GK26W4-01,100506,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014905.51,181824.89,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3038100048,,305,42,60,10,4,40,Type D,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2024b,-73.8895155229959,40.6685740166294,GK26W5-04,100512,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1014899.66,182875.27,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040570030,3040570029,305,42,60,10,5,50,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2024c,-73.8897264891465,40.6685426266353,GK26W5-04,100513,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1014841.15,182863.76,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040570027,3040570025,305,42,60,11,5,55,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2024a,-73.8894624479765,40.6685818706091,GK26W5-04,100514,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1014914.38,182878.15,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040570030,3040570031,305,42,60,11,5,55,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2025a,-73.8892949174001,40.668483858139,GK26W5-04,100515,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1014960.9,182842.5,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040570031,,305,42,40,14,5,70,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2025b,-73.8893087783469,40.668537751492,GK26W5-04,100516,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1014957.03,182862.13,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040570031,,305,42,60,15,5,75,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2028a,-73.8887674637138,40.6668666193489,GK26W5-04,100518,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015107.97,182253.48,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040740014,,305,42,60,10,4.5,45,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2028b,-73.8885999328479,40.6662108116745,GK26W5-04,100519,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015154.75,182014.61,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040740004,3040740005,305,42,60,11,4.5,49.5,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2031b,-73.8889116459019,40.6674319636951,GK26W5-04,100522,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015067.71,182459.4,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040580044,,305,42,60,10,4,40,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2032b,-73.8890567049353,40.6686418926288,GK26W5-04,100524,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015026.91,182900.16,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040580100,,305,42,60,10,4.5,45,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2044b,-73.8873530139841,40.6614972754495,GK26W4-01,100536,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1015502.88,180297.78,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3043280001,,305,42,60,10,5,50,Type A - Stone Columns,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2046c,-73.8870792513753,40.6603323686956,GK26W4-01,100539,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1015579.38,179873.47,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3043270024,,305,42,60,13,5,65,Type A - Stone Columns,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2055b,-73.886637250925,40.6619465517673,GK26W4-01,100545,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1015701.25,180461.72,,Combined,26W-004,Jamaica Bay and Tributaries,,,3043290001,,,,,14,6,84,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2055a,-73.8865937732704,40.6618880176197,GK26W4-01,100546,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1015713.34,180440.41,,Combined,26W-004,Jamaica Bay and Tributaries,,,3043290001,,,,,20,6,120,Standard,Malus 'Cardinal',Cardinal Crabapple,GK26W4-01_GK26W5-04,4,Final Design
2295a,-73.8793932877882,40.6555807583155,GK26W4-01,100729,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1017714.2,178145.17,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3044430001,,305,42,60,20,5,100,Standard,Quercus palustris,Pin Oak,GK26W4-01_GK26W5-04,4,Final Design
2295b,-73.8793147666537,40.6556144093459,GK26W4-01,100730,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1017735.97,178157.46,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3044430001,,305,42,60,20,5,100,Standard,Quercus palustris,Pin Oak,GK26W4-01_GK26W5-04,4,Final Design
SLH-US1,-73.9042461439036,40.6682139684945,GK26W3-03-OS4,118706,2,Onsite,Onsite,Seth Low,Subsurface Storage,100% Design Accepted,1010813.3621,182739.2838,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,,,3037450001,,316,41,55,0,0,845,,,,,,Final Design
2295e,-73.8790483989188,40.6557292457798,GK26W4-01,100733,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1017809.82,178199.4,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3044430001,,305,42,60,20,5,100,Standard,Quercus palustris,Pin Oak,GK26W4-01_GK26W5-04,4,Final Design
2295f,-73.8789698414945,40.6557628416407,GK26W4-01,100734,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1017831.6,178211.67,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3044430001,,305,42,60,20,5,100,Standard,Quercus palustris,Pin Oak,GK26W4-01_GK26W5-04,4,Final Design
2525a,-73.8816893144317,40.6640190941374,GK26W5-04,100973,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1017072.98,181218.62,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3043350030,,305,42,60,20,6,120,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
2526a,-73.8809886907199,40.6630780368557,GK26W5-04,100976,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWRG,100% Design Accepted,1017267.82,180876.03,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3043350001,,305,42,60,14,5,70,,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
2526b,-73.8810636642379,40.6631786831836,GK26W5-04,100977,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWRG,100% Design Accepted,1017246.97,180912.67,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3043350001,,305,42,60,14,5,70,,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
2526c,-73.8811331717681,40.6632722697254,GK26W5-04,100978,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWRG,100% Design Accepted,1017227.64,180946.74,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3043350001,,305,42,60,19,5,95,,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
2526d,-73.8811957038377,40.6633562971815,GK26W5-04,100979,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWRG,100% Design Accepted,1017210.25,180977.33,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3043350001,,305,42,60,14,5,70,,No Tree,N/A,GK26W4-01_GK26W5-04,3,Final Design
2609b,-73.871170595243,40.6656248278727,GK26W5-04,101026,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1019990.33,181807.75,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3045040023,,305,42,60,12,4.5,54,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2611b,-73.8720308327779,40.6655306813712,GK26W5-04,101028,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1019751.73,181773.1,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3045040019,,305,42,60,13,5,65,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2615a,-73.872961727909,40.6659422225613,GK26W5-04,101039,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1019493.26,181922.66,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3045030001,,305,42,60,13,4.5,58.5,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,4,Final Design
2615b,-73.8730089864574,40.6659222103928,GK26W5-04,101040,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1019480.16,181915.35,,Combined,26W-005,Jamaica Bay and Tributaries,,,3045030001,,,,,10,4.5,45,Standard,Tilia tomentosa 'Sterling',Sterling Silver Linden,GK26W4-01_GK26W5-04,4,Final Design
